track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists
Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,4,432,12,162887075,8
Super,SEVENTEEN,1,2023,4,24,271,12,91221625,16
Slut Me Out,NLE Choppa,1,2022,4,22,816,4,190490915,21
Double Fantasy (with Future),"The Weeknd, Future",2,2023,4,21,1169,0,96180277,36
All Of The Girls You Loved Before,Taylor Swift,1,2019,8,23,1282,6,185240616,26
PROVENZA,Karol G,1,2022,4,21,6587,34,885093467,114
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2023,4,14,1444,4,104992946,0
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,356,10,147290338,4
Shivers,Ed Sheeran,1,2021,9,9,10147,30,1302184087,234
Igualito a Mi Ap�,"Fuerza Regida, Peso Pluma",2,2022,12,30,265,6,158950978,8
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,2023,4,25,351,9,76910644,16
Komang,Raim Laode,1,2022,8,16,158,4,137123880,5
DESPECH�,ROSAL�,1,2022,7,28,7613,33,782369383,180
Made You Look,Meghan Trainor,1,2022,10,21,3956,6,502574952,142
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,5,1638,10,207033255,0
No Se Va,Grupo Frontera,1,2022,4,28,924,18,404887295,17
Punto G,Quevedo,1,2022,11,4,1985,35,381161027,34
Lovers Rock,TV Girl,1,2014,6,5,6339,13,466231982,3
METAMORPHOSIS,INTERWORLD,1,2021,11,25,1561,24,357580552,18
Mami Chula,"Quevedo, Jhayco",2,2023,4,27,875,4,61105704,17
En Paris,"El Chachito, Junior H",2,2022,12,24,406,5,198275403,3
Set Me Free Pt.2,Jimin,1,2023,3,17,340,13,168448603,4
I Was Never There,"The Weeknd, Gesaffelstein",2,2018,3,29,4188,15,705469769,30
Don't ever say love me (feat. RM of BTS),"RM, Colde",2,2023,5,4,105,0,34502215,5
Shut Down,BLACKPINK,1,2022,9,16,1524,17,482175240,53
Gato de Noche,"Nengo Flow, Bad Bunny",2,2022,12,22,2651,30,304118600,21
Call Out My Name,The Weeknd,1,2018,3,29,11087,6,1449799467,151
Like Crazy (English Version),Jimin,1,2023,3,24,373,19,173627354,4
Rosa Pastel,"Jasiel Nu��ez, Peso P",2,2023,2,2,200,4,90025258,8
Sunroof,"Nicky Youre, Dazy",2,2021,12,3,3741,17,652704649,156
Lose Yourself - Soundtrack Version,Eminem,1,2002,1,1,32502,21,1829992958,247
Superman,"Eminem, Dina Rae",2,2002,5,26,7615,14,655466831,18
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2,1208,34,146409671,10
People Pt.2 (feat. IU),"IU, Agust D",2,2023,4,7,209,4,95816024,4
REMIX EXCLUSIVO,Feid,1,2023,3,17,1235,9,117206995,20
"Arc��ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,2023,3,22,654,3,100409613,11
DOGTOOTH,"Tyler, The Creator",2,2023,3,27,1479,0,80758350,23
10:35,"Ti��sto, Tate M",2,2022,11,1,4942,26,325592432,190
SORRY NOT SORRY,"Tyler, The Creator",2,2023,3,31,709,0,58473276,8
HAPPY,NF,1,2023,3,25,660,0,52722996,22
La Bebe,Yng Lvcas,1,2021,12,24,489,17,191945597,4
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,3,24,407,0,77377503,16
Late Night Talking,Harry Styles,1,2022,5,20,7461,8,743693613,166
Le�,Mar��lia Mendo,1,2022,12,9,993,4,267789608,30
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2,2020,3,20,9161,5,1221813483,240
Something in the Orange,Zach Bryan,1,2022,4,22,3282,12,449701773,67
VOID,Melanie Martinez,1,2023,3,29,596,0,67070410,29
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2023,3,14,320,6,116334601,5
Midnight Rain,Taylor Swift,1,2022,10,21,2612,4,433356509,19
If We Ever Broke Up,Mae Stephens,1,2023,2,10,2040,4,165584767,81
You Proof,Morgan Wallen,1,2022,5,13,2128,9,367814306,37
LA INOCENTE,"Feid, Mora",2,2022,4,1,2598,37,477033549,28
Malas Decisiones,Kenia OS,1,2022,10,26,542,2,156214700,23
Murder In My Mind,Kordhell,1,2022,1,21,2459,20,448843705,20
Gangsta's Paradise,"Coolio, L.V.",2,1995,7,11,10624,17,1357608774,21
CAIRO,"Karol G, Ovy On The Drums",2,2022,11,13,2418,26,294352144,52
I Love You So,The Walters,1,2014,11,28,7536,7,972164968,44
Dark Red,Steve Lacy,1,2017,2,20,10431,7,920045682,71
